1,2,3,4,5,6,7,8,9,10,11,12,13
48651913,Rabota,Rezjume,"Menedzher, kassir, administrator, operator, sekreta","Lichnye dannye: ^p Fokina Anastasija Sergeevna ^p 21.04.1993g ^p tel 8@@PHONE@@ ^p Grazhdanstvo: Rossija ^p Menedzher, kassir-operatsionist ^p Sekretar'-operator PK ^p Zhelaemaja zarplata 20 000 rub. ^p Rezhim raboty: postojannaja rabota, polnyj den', na territorii rabotodatelja. ^p Opyt raboty: ^p -Operator EVM ^p (Kvalifitsirovannyj spetsialist) ^p Mart 2013 - Ijun' 2013 , Otdel Vnevedomstvennoj Ohrany (Ohrana,   ^p bezopasnost', politsija)          ^p Dolzhnostnye objazannosti: ^p Registratsija vhodjaschej, ishodjaschej korrespondentsii. ^p -Kassir-operatsionist ^p (Kvalifitsirovannyj spetsialist) ^p Mart 2012 - Fevral' 2013 , Magazin El'dorado (Prodazhi) ^p Dolzhnostnye objazannosti i dostizhenija: ^p Obsluzhivanie personala, rabota s kassoj v programme 1s, lichnye prodazhi, ^p vedenie dokumentatsii. ^p -Prodavets-kassir ^p (Kvalifitsirovannyj spetsialist) ^p Nojabr' 2011 - Fevral' 2012 , ZAO Tander (Prodazhi) ^p Dolzhnostnye objazannosti i dostizhenija: ^p Vykladka tovara, lichnye prodazhi, konsul'tirovanie klientov o tovare,  ^p rabota s kassoj v programme 1s, rabota s TZD. ^p Obrazovanie: - Srednee spetsial'noe ^p MGGTK AGU ^p 2008-2011 Fakul'tet/spetsial'nost': Ekonomicheskij/Menedzhment ^p (ochnaja forma obuchenija). ^p                          -  Vysshee  ^p AGU (Adygejskij Gosudarstvennyj Universitet) ^p 2011-2014 Fakul'tet/spetsial'nost': Ekonomicheskij/ Menedzhment  ^p (zaochnaja forma obuchenija). ^p Harakterizujuschie kachestva: ^p Otvetstvennaja, dobrozhelatel'naja, kommunikabel'naja, porjadochnaja, ^p otzyvchivaja, punktual'naja.","{""Sfera dejatel'nosti"":""Banki, investitsii"", ""Grafik raboty"":""Polnyj den'""}",25000,,0,1,0,0,0.23
57486181,Transport,Avtomobili s probegom,"VAZ 2110, 1999","Chitaem vnimatel'no, predlozhenie ne dlja perekupov.  ^p Nuzhdaetsja v kuzovnyh rabotah. Dvigatel' kapitalilsja proshloj osen'ju, porshnja s vyemkami, Inzhektor 16 klapanov. Iz poslednih vlozhenij, podshipniki zadnih i perednih stupits, opory perednih stoek. Bol'she pretenzij net. Stoit na uchete v azove, PTS i plastik v nalichii, v PTS mest bol'she net. Vladelets po PTS rabotaet v Pitere, priezzhaet raz v 3-4 mesjatsa.  ^p Avtomobilem vladeju god.","{""Marka"":""VAZ (LADA)"", ""Model'"":""2110"", ""God vypuska"":""1999"", ""Probeg"":""200 000 - 249 999"", ""Tip kuzova"":""Sedan"", ""Tsvet"":""Zelenyj"", ""Ob'em dvigatelja"":""1.5"", ""Korobka peredach"":""Mehanicheskaja"", ""Tip dvigatelja"":""Benzinovyj"", ""Privod"":""Perednij"", ""Rul'"":""Levyj"", ""Sostojanie"":""Bityj""}",55000,,0,0,0,0,17.39
58067921,Lichnye veschi,Tovary dlja detej i igrushki,Muzykal'nyj mobil',Prodam mobil' mehanicheskij. Muzyka klassicheskaja prijatnaja. Vse rabotaet. V otlichnom sostojanii.,"{""Vid tovara"":""Igrushki""}",500,,0,0,0,0,0.08
88579340,Nedvizhimost',Kvartiry,"Studija, 34 m, 3/6 et.",Bol'shaja i udobnaja kvartira-studija dlja sovremennyh ljudej,"{""Tip ob'javlenija"":""Prodam"", ""Kolichestvo komnat"":""Studija"", ""Vid ob'ekta"":""Novostrojka"", ""Etazh"":""Ne pervyj i ne poslednij"", ""Etazh"":""3"", ""Etazhej v dome"":""5-8"", ""Etazhej v dome"":""6"", ""Tip doma"":""Kirpichnyj"", ""Adres"":""ul. Sergeja Esenina, 108/5""}",1273000,,0,0,0,0,20.19
48470002,Rabota,Vakansii,Agent nedvizhimosti,"Trebujutsja agenty nedvizhimosti.  Grafik raboty svobodnyj, dezhurstvo v ofise. Zarabotnaja plata zavisit ot vyrabotki, perspektiva rosta.","{""Sfera dejatel'nosti"":""Prodazhi"", ""Grafik raboty"":""Nepolnyj den'""}",0,,0,0,0,0,0.20
63063579,Rabota,Rezjume,Inspektor otdela kadrov (menedzher po personalu),"Russkaja zhenschina, 40 let, ischet rabotu v otdele kadrov. Stazh bolee 15 let. Imeet opyt raboty kadrovikom v sisteme MVD. Otlichnye znanija PK, orgtehniki, internet (ofisnye programmy). Podrobnee po telefonu.","{""Sfera dejatel'nosti"":""Upravlenie personalom"", ""Grafik raboty"":""Polnyj den'""}",15000,,0,0,0,0,18.85
33864765,Bytovaja elektronika,Telefony,Nokia 5230,"Nokia 5230  zamechatel'nyj smartfon, rabotajuschij na platforme S60 5th Edition s protsessorom ARM 11 434Mhz, osnaschennyj TFT-displeem, otobrazhajuschim do 16 mln. tsvetov, s diagonal'ju 3.2"" i kameroj na 2 Mpx, delajuschej snimki s razresheniem 1600 x 1200 px.  ^p Osnaschen moschnym akkumuljatorom na 1320 mAh, kotoryj pozvoljaet apparatu rabotat' do 438 chasov v rezhime ozhidanija i do 7 v rezhime razgovora. Dlja kommunikatsii mozhet predlozhit': Web-brauzer, HSDPA, stereo Bluetooth, i, konechno, USB-port. Dlja ljubitelej muzyki est' audio vyhod na 3.5 mm. Takzhe stoit otmetit', chto on osnaschen GPS-priemnikom, kotoryj pozvolit Vam ne zabludit'sja v ljubom meste! ^p +Fleshka microSD 1Gb","{""Vid telefona"":""Nokia""}",1000,,0,0,0,0,4.43
88022764,Bytovaja elektronika,Tovary dlja komp'jutera,Wi-fi modem MTS,"wi-fi modem MTS , rabotaet cherez sim kartu. ^p vstroennyj akkumuljator , mozhno nosit' s soboj i budet WI-FI v karmane.Polnyj komplekt , nuzhno tol'ko sim karta. prodaju iz za nenadobnosti.Ispol'zovalsja ochen' malo.","{""Vid tovara"":""Aksessuary""}",500,,0,0,0,0,18.28
12039666,Lichnye veschi,Detskaja odezhda i obuv',Kombinezon Baby club novyj,"Sovmestnyj kombinezon so stil'nym printom v vide bukovok. Vodoottalkivajuschaja propitka. Kapjushon otdelan iskusstvennym mjagkim i pushistym mehom. Podhodit dlja prohladnoj vesny. ^p Rost: 80 sm ^p Sostav: verh-100% poliamid; podkladka-100% h/b; uteplitel'-200g/m2 ^p Absoljutno novyj, nam ne podoshel razmer","{""Vid odezhdy"":""Dlja mal'chikov"", ""Predmet odezhdy"":""Verhnjaja odezhda"", ""Razmer"":""74-80 sm (7-12 mes)""}",1450,,0,0,0,0,0.05
51365178,Lichnye veschi,Tovary dlja detej i igrushki,Nabor lego s dostavkoj 60011 City,"Otvechaju na zvonki blizhe k vecheru, bez vyhodnyh ^p Absoljutno novaja vesch' i v rodnoj upakovke, v nalichii","{""Vid tovara"":""Igrushki""}",268,,0,0,0,0,0.12
